Testcase_Number Left_Coin_Pile Right_Coin_Pile Computation_Time Number_of_Coins
312 0 0 0 4
313 0 0 0 4
314 0 0 0 4
315 0 0 0 4
316 0 0 0 4
317 0 0 0 4
318 0 0 0 4
319 0 0 0 4
320 0 0 0 4
321 0 0 0 4
322 0 0 0 4
323 0 0 0 4
324 0 0 0 4
325 0 0 0 4
326 0 0 0 4
327 0 0 0 4
328 0 0 0 4
329 0 0 0 4
330 0 0 0 4
331 20,3 18,5 0 4
332 0 0 0 4
333 0 0 0 4
334 0 0 0 4
335 0 0 0 4
336 0 0 0 4
337 0 0 0 4
338 0 0 0 4
339 0 0 0 4
340 9,21 18,12 0 4
341 0 0 0 4
342 0 0 0 4
343 0 0 0 4
344 0 0 0 4
345 0 0 0 4
346 0 0 0 4
347 0 0 0 4
348 0 0 0 4
349 0 0 0 4
350 21,16 22,15 0 4
351 8,22 24,6 0 4
352 0 0 0 4
353 7,4,2 13 0 4
354 0 0 0 4
355 0 0 0 4
356 0 0 0 4
357 3,15 12,6 0 4
358 0 0 0 4
359 0 0 0 4
360 0 0 0 4
361 0 0 0 4
362 0 0 0 4
363 0 0 0 4
364 0 0 0 4
365 0 0 0 4
366 20,16 25,11 0 4
367 0 0 0 4
368 0 0 0 4
369 0 0 0 4
370 0 0 0 4
371 0 0 0 4
372 0 0 0 4
373 0 0 0 4
374 0 0 0 4
375 0 0 0 4
376 0 0 0 4
377 0 0 0 4
378 14,11 14,11 0 4
379 0 0 0 4
380 0 0 0 4
381 0 0 0 4
382 0 0 0 4
383 0 0 0 4
384 0 0 0 4
385 0 0 0 4
386 0 0 0 4
387 0 0 0 4
388 0 0 0 4
389 0 0 0 4
390 0 0 0 4
391 0 0 0 4
392 4,11,5 20 0 4
393 9,12 13,8 0 4
394 0 0 0 4
395 7,4,10 21 0 4
396 0 0 0 4
397 0 0 0 4
398 0 0 0 4
399 0 0 0 4
400 0 0 0 4
401 0 0 0 4
402 0 0 0 4
403 0 0 0 4
404 0 0 0 4
405 0 0 0 4
406 0 0 0 4
407 0 0 0 4
408 0 0 0 4
409 0 0 0 4
410 0 0 0 4
411 0 0 0 4
412 0 0 0 4
413 0 0 0 4
414 0 0 0 4
415 0 0 0 4
416 0 0 0 4
417 0 0 0 4
418 0 0 0 4
419 0 0 0 4
420 0 0 0 4
421 0 0 0 4
422 0 0 0 4
423 0 0 0 4
424 0 0 0 4
425 0 0 0 4
426 8,3,13 24 0 4
427 0 0 0 4
428 0 0 0 4
429 0 0 0 4
430 0 0 0 4
431 0 0 0 4
432 0 0 0 4
433 0 0 0 4
434 0 0 0 4
435 0 0 0 4
436 0 0 0 4
437 0 0 0 4
438 0 0 0 4
439 0 0 0 4
440 0 0 0 4
441 0 0 0 4
442 0 0 0 4
443 0 0 0 4
444 0 0 0 4
