Testcase_Number Left_Coin_Pile Right_Coin_Pile Computation_Time Number_of_Coins
300 0 0 0 5
301 4,2,24 10,12,8 0 6
302 10,14,17 25,12,4 0 6
303 0 0 0 6
304 0 0 0 6
305 0 0 0 6
306 0 0 0 6
307 0 0 0 6
308 0 0 0 6
309 0 0 0 6
310 0 0 0 6
311 0 0 0 6
312 0 0 0 6
313 0 0 1008100 6
314 0 0 0 6
315 25,14,7 17,17,12 0 6
316 0 0 0 6
317 0 0 0 6
318 0 0 0 6
319 0 0 0 6
320 0 0 0 6
321 2,8,19 23,3,3 0 6
322 21,2,15 16,6,16 0 6
323 11,22,2 5,15,15 0 6
324 22,11,4 6,23,8 0 6
325 0 0 0 6
326 0 0 0 6
327 9,16,7 6,19,7 0 6
328 0 0 0 6
329 0 0 0 6
330 0 0 0 6
331 0 0 0 6
332 0 0 0 6
333 0 0 0 6
334 7,17,2,3 14,15 0 6
335 2,7,10 11,3,5 0 6
336 0 0 0 6
337 0 0 0 6
338 0 0 525600 6
339 0 0 0 6
340 0 0 0 6
341 4,6,2,14 12,14 0 6
342 0 0 0 6
343 5,17,23 12,15,18 0 6
344 0 0 0 6
345 0 0 0 6
346 0 0 0 6
347 9,10,23 16,9,17 0 6
348 0 0 0 6
349 0 0 0 6
350 16,22,8 10,15,21 0 6
351 5,19,9 2,24,7 0 6
352 0 0 0 6
353 0 0 0 6
354 10,24,14 13,10,25 0 6
355 0 0 0 6
356 0 0 0 6
357 0 0 0 6
358 0 0 0 6
359 0 0 0 6
360 0 0 0 6
361 0 0 0 6
362 0 0 0 6
363 0 0 0 6
364 0 0 0 6
365 3,12,13 6,20,2 0 6
366 0 0 0 6
367 0 0 0 6
368 19,3,25 8,14,25 0 6
369 0 0 0 6
370 0 0 0 6
371 0 0 0 6
372 5,13,8 4,15,7 0 6
373 2,7,23 11,11,10 0 6
374 0 0 0 6
375 0 0 0 6
376 0 0 0 6
377 0 0 0 6
378 0 0 0 6
379 21,6,6,15 24,24 0 6
380 0 0 0 6
381 0 0 0 6
382 0 0 0 6
383 0 0 0 6
384 0 0 0 6
385 0 0 1029000 6
386 21,10,19 24,16,10 0 6
387 3,25,15 10,14,19 0 6
388 0 0 0 6
389 21,3,23 15,22,10 0 6
390 8,7,16 8,16,7 0 6
391 0 0 0 6
392 15,20,12 25,3,19 0 6
393 0 0 0 6
394 0 0 0 6
395 8,6,14,10 20,18 0 6
396 0 0 0 6
397 17,17 5,4,5,20 0 6
398 0 0 0 6
399 0 0 0 6
400 0 0 0 6
401 0 0 0 7
402 0 0 0 7
403 18,6,8,14 13,17,16 0 7
404 25,6,8,7 6,24,16 0 7
405 0 0 0 7
406 4,7,15 2,7,3,14 0 7
407 0 0 0 7
408 9,20,14,17 16,20,24 0 7
409 0 0 0 7
410 8,4,2,12 17,7,2 0 7
411 0 0 0 7
412 0 0 0 7
413 0 0 0 7
414 4,6,21,21 22,6,24 0 7
415 18,22,8 10,9,19,10 0 7
416 0 0 0 7
417 0 0 0 7
418 0 0 0 7
419 0 0 1021900 7
420 0 0 0 7
421 0 0 0 7
422 0 0 0 7
423 14,13,20 23,7,11,6 0 7
424 0 0 0 7
425 0 0 0 7
426 0 0 0 7
427 19,15,11 12,7,24,2 0 7
428 0 0 0 7
429 2,7,6,25 24,11,5 0 7
430 0 0 0 7
431 14,5,16 3,4,20,8 0 7
432 2,14,19,4 12,19,8 0 7
433 15,7,23,3 2,23,23 0 7
434 0 0 0 7
435 9,8,10,19 5,21,20 0 7
436 0 0 0 7
437 0 0 0 7
438 0 0 0 7
439 0 0 0 7
440 18,23,17 19,16,8,15 0 7
441 0 0 0 7
442 10,19,10,11 17,8,25 0 7
443 9,21,6,20 12,19,25 0 7
444 0 0 0 7
